file	line	text
akademi.html	24	"<meta property=""og:image"" content=""https://www.vorqaglobal.com/og-default.png"">"
akademi.html	30	"<link rel=""icon"" href=""/favicon.svg?v=2"" type=""image/svg+xml"">"
akademi.html	31	"<link rel=""icon"" href=""/favicon-32.png?v=2"" sizes=""32x32"">"
akademi.html	32	"<link rel=""apple-touch-icon"" href=""/apple-touch-icon.png?v=2"">"
akademi.html	65	.nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}
akademi.html	68	.nav-logo-img{display:block;height:52px;width:auto}
akademi.html	76	.foot-logo-img{display:block;height:40px;width:auto}
akademi.html	78	.nav-logo:hover .nl-z{transform:translateX(-4px)}
akademi.html	79	.nav-logo:hover .nl-y{transform:translateY(-4px)}
akademi.html	80	.nav-logo:hover .nl-t{transform:translateX(4px)}
akademi.html	378	"<a href=""index.html"" class=""nav-logo"">"
akademi.html	379	"<img class=""nav-logo-img logo-on-dark"" src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""Vorqa Global"">"
akademi.html	380	"<img class=""nav-logo-img logo-on-light"" src=""/brand_assets/vorqa_logo_main_cropped.png"" alt=""Vorqa Global"">"
akademi.html	672	"<img class=""foot-logo-img"" src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""Vorqa Global"">"
Claude.md	25	- Always check the `brand_assets/` folder before designing. It may contain logos, color guides, style guides, or images.
iletisim.html	27	"<meta property=""og:image"" content=""https://www.vorqaglobal.com/og-default.png"">"
iletisim.html	33	"<link rel=""icon"" href=""/favicon.svg?v=2"" type=""image/svg+xml"">"
iletisim.html	34	"<link rel=""icon"" href=""/favicon-32.png?v=2"" sizes=""32x32"">"
iletisim.html	35	"<link rel=""apple-touch-icon"" href=""/apple-touch-icon.png?v=2"">"
iletisim.html	52	.nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}
iletisim.html	55	.nav-logo-img{display:block;height:52px;width:auto}
iletisim.html	56	.foot-logo-img{display:block;height:40px;width:auto}
iletisim.html	58	.nav-logo:hover .nl-z{transform:translateX(-4px)}
iletisim.html	59	.nav-logo:hover .nl-y{transform:translateY(-4px)}
iletisim.html	60	.nav-logo:hover .nl-t{transform:translateX(4px)}
iletisim.html	89	.nav-logo{animation:logo-in .8s .9s both}
iletisim.html	289	"<a href=""index.html"" class=""nav-logo"">"
iletisim.html	290	"<img class=""nav-logo-img"" src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""Vorqa Global"">"
iletisim.html	439	"<img class=""foot-logo-img"" src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""Vorqa Global"">"
index.html	14	"<meta property=""og:image"" content=""https://www.vorqaglobal.com/og-default.png"">"
index.html	26	"<link rel=""icon"" href=""/favicon.svg?v=2"" type=""image/svg+xml"">"
index.html	27	"<link rel=""icon"" href=""/favicon-32.png?v=2"" sizes=""32x32"">"
index.html	28	"<link rel=""apple-touch-icon"" href=""/apple-touch-icon.png?v=2"">"
index.html	124	.nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none;cursor:pointer}
index.html	125	.nav-logo-img{display:block;height:52px;width:auto}
index.html	126	.foot-logo-img{display:block;height:40px;width:auto}
index.html	132	.nav-logo:hover .nl-z{transform:translateX(-4px)}
index.html	133	.nav-logo:hover .nl-y{transform:translateY(-4px)}
index.html	134	.nav-logo:hover .nl-t{transform:translateX(4px)}
index.html	165	.nav-logo{animation:logo-in .8s .9s both}
index.html	927	"<img src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""VORQA"">"
index.html	945	"<a href=""#"" class=""nav-logo"">"
index.html	946	"<img class=""nav-logo-img"" src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""Vorqa Global"">"
index.html	1056	"<div class=""wwd-mark-wrap"" aria-hidden=""true""><img class=""wwd-mark"" src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""""></div>"
index.html	1157	"<img class=""foot-logo-img"" src=""/brand_assets/vorqa_logo_white_cropped.png"" alt=""Vorqa Global"">"
logo_audit_refs.json	5	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	20	"""text"": ""<link rel=\""icon\"" href=\""/favicon.svg?v=2\"" type=\""image/svg+xml\"">"""
logo_audit_refs.json	25	"""text"": ""<link rel=\""icon\"" href=\""/favicon-32.png?v=2\"" sizes=\""32x32\"">"""
logo_audit_refs.json	30	"""text"": ""<link rel=\""apple-touch-icon\"" href=\""/apple-touch-icon.png?v=2\"">"""
logo_audit_refs.json	35	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}"""
logo_audit_refs.json	40	"""text"": "".nav-logo-img{display:block;height:52px;width:auto}"""
logo_audit_refs.json	60	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	65	"""text"": "".nav-logo:hover .nl-z{transform:translateX(-4px)}"""
logo_audit_refs.json	70	"""text"": "".nav-logo:hover .nl-y{transform:translateY(-4px)}"""
logo_audit_refs.json	75	"""text"": "".nav-logo:hover .nl-t{transform:translateX(4px)}"""
logo_audit_refs.json	80	"""text"": ""<a href=\""index.html\"" class=\""nav-logo\"">"""
logo_audit_refs.json	85	"""text"": ""<img class=\""nav-logo-img logo-on-dark\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	90	"""text"": ""<img class=\""nav-logo-img logo-on-light\"" src=\""/brand_assets/vorqa_logo_main_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	95	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	105	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	120	"""text"": ""<link rel=\""icon\"" href=\""/favicon.svg?v=2\"" type=\""image/svg+xml\"">"""
logo_audit_refs.json	125	"""text"": ""<link rel=\""icon\"" href=\""/favicon-32.png?v=2\"" sizes=\""32x32\"">"""
logo_audit_refs.json	130	"""text"": ""<link rel=\""apple-touch-icon\"" href=\""/apple-touch-icon.png?v=2\"">"""
logo_audit_refs.json	135	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none}"""
logo_audit_refs.json	140	"""text"": "".nav-logo-img{display:block;height:52px;width:auto}"""
logo_audit_refs.json	145	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	150	"""text"": "".nav-logo:hover .nl-z{transform:translateX(-4px)}"""
logo_audit_refs.json	155	"""text"": "".nav-logo:hover .nl-y{transform:translateY(-4px)}"""
logo_audit_refs.json	160	"""text"": "".nav-logo:hover .nl-t{transform:translateX(4px)}"""
logo_audit_refs.json	165	"""text"": "".nav-logo{animation:logo-in .8s .9s both}"""
logo_audit_refs.json	170	"""text"": ""<a href=\""index.html\"" class=\""nav-logo\"">"""
logo_audit_refs.json	175	"""text"": ""<img class=\""nav-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	180	"""text"": ""<img class=\""foot-logo-img\"" src=\""/brand_assets/vorqa_logo_white_cropped.png\"" alt=\""Vorqa Global\"">"""
logo_audit_refs.json	185	"""text"": ""<meta property=\""og:image\"" content=\""https://www.vorqaglobal.com/og-default.png\"">"""
logo_audit_refs.json	200	"""text"": ""<link rel=\""icon\"" href=\""/favicon.svg?v=2\"" type=\""image/svg+xml\"">"""
logo_audit_refs.json	205	"""text"": ""<link rel=\""icon\"" href=\""/favicon-32.png?v=2\"" sizes=\""32x32\"">"""
logo_audit_refs.json	210	"""text"": ""<link rel=\""apple-touch-icon\"" href=\""/apple-touch-icon.png?v=2\"">"""
logo_audit_refs.json	220	"""text"": "".nav-logo{display:flex;align-items:center;gap:13px;text-decoration:none;cursor:pointer}"""
logo_audit_refs.json	225	"""text"": "".nav-logo-img{display:block;height:52px;width:auto}"""
logo_audit_refs.json	230	"""text"": "".foot-logo-img{display:block;height:40px;width:auto}"""
logo_audit_refs.json	235	"""text"": "".nav-logo:hover .nl-z{transform:translateX(-4px)}"""
